2025-01-11 16:18:01 DEBUG Connection:131 - {conn-10001,procId-1382} connected
2025-01-11 16:18:01 DEBUG Statement:136 - {conn-10001, stmt-20000} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000, rs-50000} query executed. 182.7038 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10002,procId-1383} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001, rs-50001} query executed. 0.4621 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10003,procId-1384} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002, rs-50002} query executed. 0.4906 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10004,procId-1385} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003, rs-50003} query executed. 0.4446 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005,procId-1386} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004, rs-50004} query executed. 0.4083 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} created. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Parameters : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Types : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005, rs-50005} query executed. 2.5214 millis. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Header: [player_id, name, mails_read, mails_collect]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125156047323136, tXXXZWcbjN, 532128448559185920,532128444243247104,532128401650089984,530277108230914048,532774560987086848,, ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159146913792, OpdFCmUK, 532125691244707840,532766828364038144,532125844814954496,532125750887710720,532125866088464384,532125780751155200,532774560987086848,532803527064420352,, ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159193051136, EvzxYNLX, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159222411264, pmdqCMGZTN, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159243382784, zvqhxVShwf, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159264354304, JUQxwbhjdW, 533140995261333504,533141016765530112,533141025045086208,533111741236641792,533141038022262784,533141033467248640,533141025313521664,533140990983143424,533141020821422080,533141003729633280,533140982472900608,533140999250116608,533141037925793792,533141033798598656,533140986868531200,533141033777627136,533141012214710272,533141016673255424,, ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159281131520, MmaKjuJMS, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159297908736, iAchKWCqk, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159314685952, NuvGrWBg, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159331463168, xegcuryuUS, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159348240384, MNJlVcFEOe, , ]
